part_id_cylinder_bottom,part_id_piston_rod,assembly_rework,assembly_pressure,saw_weight,mill_surface_roughness,mill_parallelism,mill_groove_depth,mill_groove_diameter,lathe_coaxiality,lathe_diameter,lathe_length,saw_anomaly,mill_anomaly,saw_weight_qcpass,mill_surface_roughness_qcpass,mill_parallelism_qcpass,mill_groove_depth_qcpass,mill_groove_diameter_qcpass,lathe_coaxiality_qcpass,lathe_diameter_qcpass,lathe_length_qcpass,assembly_pressure_qcpass,saw_weight_missing,lathe_coaxiality_missing,lathe_diameter_missing,lathe_length_missing,saw_anomaly_missing,mill_anomaly_missing,fail
103504,200102,n,9699.5,0.530674095,2.364,0.0335,0.804,-0.036,29.2,0.0055,163.656,0.0,0.0,True,True,True,True,True,True,True,True,True,0,0,0,0,0,0,0
124704,200103,n,11633.167,0.552985716,2.29,0.0468,0.81,-0.041,46.2,0.0035,163.66,1.0,1.0,True,True,True,True,True,True,True,True,True,0,0,0,0,0,0,0
124403,200104,n,8755.167,0.557612899,2.837,0.02,0.801,-0.038,28.8,0.0015,163.66,1.0,1.0,True,False,True,True,True,True,True,True,True,0,0,0,0,0,0,0
124301,200201,n,10119.0,0.551290077,2.579,0.0446,0.795,-0.039,14.9,0.008,163.671,1.0,1.0,True,False,True,True,True,True,True,True,True,0,0,0,0,0,0,0
124103,200202,n,12576.667,0.55824872,2.683,0.0864,0.798,-0.0425,32.2,0.0045,163.654,1.0,1.0,True,False,True,True,True,True,True,True,True,0,0,0,0,0,0,0
124202,200203,n,12554.833,0.552160622,2.352,0.0516,0.796,-0.036,44.4,0.0055,163.652,1.0,1.0,True,True,True,True,True,True,True,True,True,0,0,0,0,0,0,0
124302,200204,n,9482.333,0.554899799,3.208,0.0484,0.805,-0.039,42.7,0.004,163.646,1.0,1.0,True,False,True,True,True,True,True,True,True,0,0,0,0,0,0,0
124303,200301,n,8583.0,0.556292526,2.119,0.0242,0.801,-0.036,34.1,0.0035,163.653,1.0,1.0,True,True,True,True,True,True,True,True,True,0,0,0,0,0,0,0
124702,200302,n,9534.0,0.556363663,2.268,0.0454,0.803,-0.037,22.3,0.0005,163.649,1.0,1.0,True,True,True,True,True,True,True,True,True,0,0,0,0,0,0,0
124804,200303,n,13527.5,0.556763687,2.998,0.0586,0.802,-0.0365,44.0,0.0,163.653,1.0,1.0,True,False,True,True,True,True,True,True,True,0,0,0,0,0,0,0
104002,200304,n,12446.0,0.561040232,1.927,0.031,0.798,-0.0395,33.9,0.0005,163.658,0.0,0.0,True,True,True,True,True,True,True,True,True,0,0,0,0,0,0,0
124104,200401,n,13401.5,0.549866688,3.401,0.0358,0.795,-0.036,9.09,0.0,163.677,1.0,1.0,True,False,True,True,True,True,True,True,True,0,0,0,0,0,0,0
103901,200402,n,8839.667,0.559620335,1.964,0.0625,0.8,-0.038,13.2,0.001,163.668,0.0,0.0,True,True,True,True,True,True,True,True,True,0,0,0,0,0,0,0
124003,200403,n,13456.0,0.537876586,2.598,0.0638,0.776,-0.039,32.0,-0.0005,163.665,1.0,1.0,True,False,True,True,True,True,True,True,True,0,0,0,0,0,0,0
103601,200404,n,8813.333,0.529891325,2.168,0.0895,0.794,-0.037,18.4,-0.002,163.659,0.0,0.0,True,True,True,True,True,True,True,True,True,0,0,0,0,0,0,0
104004,200501,n,9490.833,0.560620994,2.204,0.03,0.802,-0.036,49.6,0.003,163.675,0.0,0.0,True,True,True,True,True,True,True,True,True,0,0,0,0,0,0,0
103701,200502,n,9719.167,0.520956757,2.018,0.062,0.802,-0.037,48.7,-0.001,163.673,0.0,0.0,True,True,True,True,True,True,True,True,True,0,0,0,0,0,0,0
124601,200503,n,13565.833,0.547732553,4.175,0.0304,0.804,-0.0365,45.5,0.0,163.659,1.0,1.0,True,False,True,True,True,True,True,True,True,0,0,0,0,0,0,0
124501,200504,n,12686.667,0.554144136,1.342,0.0746,0.803,-0.0375,39.1,-0.0005,163.648,1.0,1.0,True,True,True,True,True,True,True,True,True,0,0,0,0,0,0,0
104103,200601,n,9603.833,0.559874808,1.731,0.0165,0.802,-0.0375,7.31,0.0,163.694,0.0,0.0,True,True,True,True,True,True,True,True,True,0,0,0,0,0,0,0
124604,200602,n,12986.667,0.55695489,2.324,0.074,0.812,-0.0375,22.5,-0.0015,163.678,1.0,1.0,True,True,True,True,True,True,True,True,True,0,0,0,0,0,0,0
109501,200603,n,12799.167,0.593221406,1.743,0.047,0.785,-0.03,7.72,-0.0025,163.689,0.0,0.0,True,True,True,True,True,True,True,True,True,0,0,0,0,0,0,0
124602,200604,n,13450.167,0.55427964,2.232,0.1746,0.8,-0.035,38.0,-0.006,163.644,1.0,1.0,True,True,False,True,True,True,True,True,True,0,0,0,0,0,0,0
124204,200701,n,13460.667,0.551416395,3.999,0.124,0.802,-0.0375,6.31,-0.0005,163.656,1.0,1.0,True,False,False,True,True,True,True,True,True,0,0,0,0,0,0,0
124603,200702,n,13400.5,0.556640515,2.362,0.0606,0.802,-0.033,35.6,-0.0025,163.692,1.0,1.0,True,True,True,True,True,True,True,True,True,0,0,0,0,0,0,0
124004,200703,n,13313.833,0.539422721,1.825,0.0458,0.793,-0.0385,55.1,-0.0075,163.629,1.0,1.0,True,True,True,True,True,False,True,True,True,0,0,0,0,0,0,0
124401,200704,n,13716.833,0.552364979,2.7,0.0376,0.793,-0.0325,13.9,-0.005,163.629,1.0,1.0,True,False,True,True,True,True,True,True,True,0,0,0,0,0,0,0
124101,200801,n,13328.333,0.545645753,2.364,0.0816,0.801,-0.038,28.2,-0.002,163.58,1.0,1.0,True,True,True,True,True,True,True,True,True,0,0,0,0,0,0,0
124002,200802,n,13614.167,0.538312987,3.172,0.0502,0.793,-0.0235,36.6,-0.0055,163.628,1.0,1.0,True,False,True,True,True,True,True,True,True,0,0,0,0,0,0,0
124701,200803,n,13521.0,0.555158004,2.422,0.0288,0.797,-0.0405,24.0,-0.0025,163.629,1.0,1.0,True,True,True,True,True,True,True,True,True,0,0,0,0,0,0,0
124102,200804,n,13675.333,0.552033053,4.191,0.0672,0.807,-0.0385,44.7,-0.003,163.634,1.0,1.0,True,False,True,True,True,True,True,True,True,0,0,0,0,0,0,0
124703,200901,n,13527.833,0.556576995,1.996,0.0416,0.798,-0.034,21.6,-0.005,163.639,1.0,1.0,True,True,True,True,True,True,True,True,True,0,0,0,0,0,0,0
124201,200902,n,12919.667,0.55380332,2.232,0.0386,0.792,-0.0375,52.5,-0.003,163.645,1.0,1.0,True,True,True,True,True,False,True,True,True,0,0,0,0,0,0,0
112601,200903,n,13247.833,0.586717183,2.331,0.5205,0.746,-0.037,25.1,-0.0085,163.633,0.0,2.0,True,True,False,False,True,True,True,True,True,0,0,0,0,0,0,0
124502,200904,n,13764.0,0.549211413,3.922,0.039,0.798,-0.0405,50.5,-0.0085,163.646,1.0,1.0,True,False,True,True,True,False,True,True,True,0,0,0,0,0,0,0
